date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:41:26	207/207	---M-Z	200	added ('OK')	text/plain	etag:%2207ce69c876d51:0%22	http://robotics.sdsmt.edu/robots.txt		(from )
13:41:26	42470/42470	---M--	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202026%2019:41:24%20GMT	http://robotics.sdsmt.edu/	/home/dean/Desktop/rockerRobo/roboWebsite/roboticsWebsite/robotics.sdsmt.edu/index.html	(from )
13:41:27	8368/8368	---M--	200	added ('OK')	image/png	etag:%22bd1562f85c2d51:0%22	http://robotics.sdsmt.edu/user/themes/robo-theme/images/icon.png	/home/dean/Desktop/rockerRobo/roboWebsite/roboticsWebsite/robotics.sdsmt.edu/user/themes/robo-theme/images/icon.png	(from http://robotics.sdsmt.edu/)
13:41:29	16449/16449	---MCZ	200	added ('OK')	text/css	date:Tue,%2010%20Mar%202026%2000:29:36%20GMT	https://unpkg.com/purecss@1.0.0/build/pure-min.css	/home/dean/Desktop/rockerRobo/roboWebsite/roboticsWebsite/unpkg.com/purecss@1.0.0/build/pure-min.css	(from http://robotics.sdsmt.edu/)
13:41:29	5309/5309	---M-Z	200	added ('OK')	text/css	etag:%22e7449d3b6fcd61:0%22	http://robotics.sdsmt.edu/user/themes/robo-theme/css/custom.css	/home/dean/Desktop/rockerRobo/roboWebsite/roboticsWebsite/robotics.sdsmt.edu/user/themes/robo-theme/css/custom.css	(from http://robotics.sdsmt.edu/)
13:41:31	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	/home/dean/Desktop/rockerRobo/roboWebsite/roboticsWebsite/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from http://robotics.sdsmt.edu/)
13:41:31	3657/3657	---M-Z	200	added ('OK')	text/css	etag:%2271805f6548bdd51:0%22	http://robotics.sdsmt.edu/user/themes/robo-theme/css/cardCarousel.css	/home/dean/Desktop/rockerRobo/roboWebsite/roboticsWebsite/robotics.sdsmt.edu/user/themes/robo-theme/css/cardCarousel.css	(from http://robotics.sdsmt.edu/)
13:41:32	2505/2505	---M-Z	200	added ('OK')	text/css	etag:%22b221a47ac6bdd51:0%22	http://robotics.sdsmt.edu/user/themes/robo-theme/css/slicknav.min.css	/home/dean/Desktop/rockerRobo/roboWebsite/roboticsWebsite/robotics.sdsmt.edu/user/themes/robo-theme/css/slicknav.min.css	(from http://robotics.sdsmt.edu/)
13:41:33	549/549	---M-Z	200	added ('OK')	text/css	etag:%2258ebccdec5bfd51:0%22	http://robotics.sdsmt.edu/user/themes/robo-theme/css/join-our-team.css	/home/dean/Desktop/rockerRobo/roboWebsite/roboticsWebsite/robotics.sdsmt.edu/user/themes/robo-theme/css/join-our-team.css	(from http://robotics.sdsmt.edu/)
13:41:34	3091/3091	---M-Z	200	added ('OK')	text/css	etag:%22382fa0d663c4d51:0%22	http://robotics.sdsmt.edu/user/themes/robo-theme/css/home.css	/home/dean/Desktop/rockerRobo/roboWebsite/roboticsWebsite/robotics.sdsmt.edu/user/themes/robo-theme/css/home.css	(from http://robotics.sdsmt.edu/)
